epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,567.611,1.65382,4.60477,1.17929,0.69539,0.06889,0.07971,0.0589,1.55798,4.34618,1.12165,3.51899e-05,3.51899e-05,3.51899e-05
40,581.484,1.56529,4.70054,1.1139,0.69539,0.06889,0.07971,0.0589,1.55798,4.34618,1.12165,3.57859e-05,3.57859e-05,3.57859e-05
41,595.872,1.62106,4.62699,1.11428,0.67929,0.07402,0.08094,0.05966,1.55592,4.33087,1.12068,3.63658e-05,3.63658e-05,3.63658e-05
42,609.447,1.6435,4.66733,1.14734,0.66473,0.0798,0.08261,0.06095,1.55361,4.31267,1.11852,3.69295e-05,3.69295e-05,3.69295e-05
43,623.078,1.66648,4.63064,1.12948,0.66473,0.0798,0.08261,0.06095,1.55361,4.31267,1.11852,3.74772e-05,3.74772e-05,3.74772e-05
44,636.896,1.66292,4.74831,1.14306,0.65829,0.07935,0.08494,0.06271,1.54921,4.29085,1.11643,3.80087e-05,3.80087e-05,3.80087e-05
45,650.53,1.6393,4.53611,1.15428,0.65829,0.07935,0.08494,0.06271,1.54921,4.29085,1.11643,3.85242e-05,3.85242e-05,3.85242e-05
46,664.728,1.6866,4.69083,1.14233,0.68238,0.0768,0.09142,0.06798,1.54669,4.27149,1.11432,3.90235e-05,3.90235e-05,3.90235e-05
47,679.301,1.6456,4.58647,1.14263,0.68238,0.0768,0.09142,0.06798,1.54669,4.27149,1.11432,3.95068e-05,3.95068e-05,3.95068e-05
48,693.594,1.66147,4.68525,1.14502,0.67842,0.08515,0.0946,0.07,1.54584,4.24473,1.11261,3.99739e-05,3.99739e-05,3.99739e-05
49,708.142,1.59915,4.48785,1.14273,0.67842,0.08515,0.0946,0.07,1.54584,4.24473,1.11261,4.04249e-05,4.04249e-05,4.04249e-05
50,723.872,1.65835,4.4459,1.13517,0.69558,0.07315,0.10063,0.07355,1.54658,4.21642,1.11087,4.08599e-05,4.08599e-05,4.08599e-05
51,739.869,1.72233,4.73126,1.12568,0.69558,0.07315,0.10063,0.07355,1.54658,4.21642,1.11087,4.087e-05,4.087e-05,4.087e-05
52,755.183,1.60555,4.3373,1.11447,0.67713,0.088,0.1008,0.07358,1.54604,4.18936,1.10896,4.04674e-05,4.04674e-05,4.04674e-05
53,769.931,1.65191,4.49797,1.15114,0.67713,0.088,0.1008,0.07358,1.54604,4.18936,1.10896,4.00648e-05,4.00648e-05,4.00648e-05
54,784.145,1.68189,4.56178,1.14158,0.68379,0.08954,0.10326,0.07543,1.54727,4.16924,1.10772,3.96622e-05,3.96622e-05,3.96622e-05
55,798.516,1.67162,4.59657,1.11049,0.68379,0.08954,0.10326,0.07543,1.54727,4.16924,1.10772,3.92596e-05,3.92596e-05,3.92596e-05
56,812.841,1.64967,4.59318,1.14164,0.66558,0.09148,0.10512,0.07568,1.5466,4.15224,1.10619,3.8857e-05,3.8857e-05,3.8857e-05
57,826.95,1.67094,4.6557,1.10593,0.66558,0.09148,0.10512,0.07568,1.5466,4.15224,1.10619,3.84544e-05,3.84544e-05,3.84544e-05
58,841.371,1.6565,4.45267,1.1345,0.66619,0.0941,0.10664,0.0771,1.54751,4.13613,1.10557,3.80518e-05,3.80518e-05,3.80518e-05
59,856.006,1.62711,4.51723,1.1231,0.66619,0.0941,0.10664,0.0771,1.54751,4.13613,1.10557,3.76492e-05,3.76492e-05,3.76492e-05
60,870.246,1.62022,4.59019,1.12417,0.6581,0.09401,0.10749,0.07754,1.54974,4.11601,1.10533,3.72466e-05,3.72466e-05,3.72466e-05
61,884.389,1.62047,4.29791,1.12784,0.6581,0.09401,0.10749,0.07754,1.54974,4.11601,1.10533,3.6844e-05,3.6844e-05,3.6844e-05
62,898.44,1.57544,4.21251,1.12533,0.66407,0.09564,0.10883,0.07913,1.55341,4.0948,1.10549,3.64414e-05,3.64414e-05,3.64414e-05
63,912.664,1.6365,4.27961,1.12289,0.66407,0.09564,0.10883,0.07913,1.55341,4.0948,1.10549,3.60388e-05,3.60388e-05,3.60388e-05
64,927.131,1.6856,4.48208,1.11074,0.67201,0.09901,0.10957,0.07957,1.55431,4.08026,1.10457,3.56362e-05,3.56362e-05,3.56362e-05
65,941.088,1.6019,4.33371,1.14741,0.67201,0.09901,0.10957,0.07957,1.55431,4.08026,1.10457,3.52336e-05,3.52336e-05,3.52336e-05
66,955.15,1.66323,4.38204,1.11881,0.67164,0.10178,0.1106,0.08062,1.55072,4.06745,1.10234,3.4831e-05,3.4831e-05,3.4831e-05
67,969.341,1.62416,4.46036,1.08475,0.67164,0.10178,0.1106,0.08062,1.55072,4.06745,1.10234,3.44284e-05,3.44284e-05,3.44284e-05
68,983.549,1.62787,4.48914,1.11838,0.66337,0.10137,0.11235,0.08173,1.54733,4.05383,1.10077,3.40258e-05,3.40258e-05,3.40258e-05
69,998.335,1.59323,4.45584,1.07297,0.66337,0.10137,0.11235,0.08173,1.54733,4.05383,1.10077,3.36232e-05,3.36232e-05,3.36232e-05
70,1013.42,1.65769,4.40912,1.09714,0.66497,0.10104,0.11375,0.08258,1.54523,4.042,1.10039,3.32206e-05,3.32206e-05,3.32206e-05
71,1027.59,1.61074,4.62385,1.10845,0.66497,0.10104,0.11375,0.08258,1.54523,4.042,1.10039,3.2818e-05,3.2818e-05,3.2818e-05
72,1041.98,1.63911,4.29515,1.11806,0.67125,0.10177,0.11034,0.0796,1.54325,4.0321,1.10023,3.24154e-05,3.24154e-05,3.24154e-05
73,1056.16,1.6148,4.51466,1.11694,0.67125,0.10177,0.11034,0.0796,1.54325,4.0321,1.10023,3.20128e-05,3.20128e-05,3.20128e-05
74,1070.68,1.63744,4.41436,1.13407,0.67881,0.10194,0.11066,0.08023,1.54127,4.01892,1.09982,3.16102e-05,3.16102e-05,3.16102e-05
75,1084.79,1.59144,4.37167,1.11376,0.67881,0.10194,0.11066,0.08023,1.54127,4.01892,1.09982,3.12076e-05,3.12076e-05,3.12076e-05
76,1099.79,1.61755,4.24664,1.11769,0.6702,0.10384,0.11166,0.08076,1.5399,4.00826,1.09971,3.0805e-05,3.0805e-05,3.0805e-05
77,1114.87,1.58822,4.26583,1.12597,0.6702,0.10384,0.11166,0.08076,1.5399,4.00826,1.09971,3.04024e-05,3.04024e-05,3.04024e-05
78,1130.88,1.66782,4.53474,1.11386,0.67274,0.10407,0.11165,0.08052,1.53878,4.00923,1.10007,2.99998e-05,2.99998e-05,2.99998e-05
79,1147.26,1.62053,4.31762,1.11085,0.67274,0.10407,0.11165,0.08052,1.53878,4.00923,1.10007,2.95972e-05,2.95972e-05,2.95972e-05
80,1162.68,1.56377,4.25876,1.09989,0.68123,0.1067,0.11288,0.08164,1.53684,4.00273,1.09988,2.91946e-05,2.91946e-05,2.91946e-05
81,1177.02,1.57778,4.30439,1.10543,0.68123,0.1067,0.11288,0.08164,1.53684,4.00273,1.09988,2.8792e-05,2.8792e-05,2.8792e-05
82,1191.8,1.66663,4.41239,1.10524,0.68073,0.10696,0.11379,0.08224,1.53634,3.98204,1.09954,2.83894e-05,2.83894e-05,2.83894e-05
83,1207.58,1.67815,4.40974,1.12321,0.68073,0.10696,0.11379,0.08224,1.53634,3.98204,1.09954,2.79868e-05,2.79868e-05,2.79868e-05
84,1224.09,1.73648,4.21627,1.11162,0.68507,0.10498,0.11431,0.08281,1.53645,3.97503,1.0996,2.75842e-05,2.75842e-05,2.75842e-05
85,1239.98,1.6732,4.44525,1.1197,0.68507,0.10498,0.11431,0.08281,1.53645,3.97503,1.0996,2.71816e-05,2.71816e-05,2.71816e-05
