epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,729.044,1.80022,5.63993,1.33914,0.00142,0.00194,0.00134,0.00073,1.69746,5.68051,1.25294,4.64071e-05,4.64071e-05,4.64071e-05
46,748.163,1.84279,5.69033,1.32145,0.00099,0.00271,0.00131,0.00072,1.68677,5.6537,1.2484,4.72668e-05,4.72668e-05,4.72668e-05
47,768.911,1.82864,5.61179,1.33842,0.00099,0.00271,0.00131,0.00072,1.68677,5.6537,1.2484,4.81184e-05,4.81184e-05,4.81184e-05
48,789.521,1.8135,5.64412,1.31009,0.00852,0.00465,0.00578,0.00301,1.67888,5.61804,1.24137,4.8962e-05,4.8962e-05,4.8962e-05
49,809.071,1.76541,5.5169,1.30915,0.00852,0.00465,0.00578,0.00301,1.67888,5.61804,1.24137,4.97975e-05,4.97975e-05,4.97975e-05
50,829.737,1.82205,5.56992,1.31352,0.00461,0.00556,0.00428,0.00224,1.67279,5.57825,1.23407,5.06249e-05,5.06249e-05,5.06249e-05
51,850.579,1.91482,5.62733,1.30306,0.00461,0.00556,0.00428,0.00224,1.67279,5.57825,1.23407,5.0935e-05,5.0935e-05,5.0935e-05
52,871.23,1.76521,5.4933,1.26775,0.00261,0.00607,0.0036,0.0021,1.66893,5.53999,1.22978,5.07337e-05,5.07337e-05,5.07337e-05
53,890.84,1.77362,5.54587,1.28206,0.00261,0.00607,0.0036,0.0021,1.66893,5.53999,1.22978,5.05324e-05,5.05324e-05,5.05324e-05
54,911.125,1.84063,5.56814,1.2985,0.00443,0.01782,0.00642,0.00422,1.66577,5.50153,1.2285,5.03311e-05,5.03311e-05,5.03311e-05
55,932.303,1.80786,5.57709,1.23862,0.00443,0.01782,0.00642,0.00422,1.66577,5.50153,1.2285,5.01298e-05,5.01298e-05,5.01298e-05
56,953.605,1.81086,5.60649,1.28524,0.00509,0.02078,0.00835,0.00568,1.65999,5.46552,1.22609,4.99285e-05,4.99285e-05,4.99285e-05
57,974.527,1.81896,5.5997,1.2374,0.00509,0.02078,0.00835,0.00568,1.65999,5.46552,1.22609,4.97272e-05,4.97272e-05,4.97272e-05
58,996.205,1.80134,5.48442,1.264,0.0035,0.02549,0.00836,0.0056,1.65298,5.42934,1.22135,4.95259e-05,4.95259e-05,4.95259e-05
59,1017.63,1.77934,5.46006,1.24548,0.0035,0.02549,0.00836,0.0056,1.65298,5.42934,1.22135,4.93246e-05,4.93246e-05,4.93246e-05
60,1040.62,1.75798,5.46787,1.25288,0.00386,0.03217,0.00918,0.00559,1.64985,5.39351,1.21885,4.91233e-05,4.91233e-05,4.91233e-05
61,1064.13,1.72036,5.34733,1.21618,0.00386,0.03217,0.00918,0.00559,1.64985,5.39351,1.21885,4.8922e-05,4.8922e-05,4.8922e-05
62,1086.05,1.66196,5.33182,1.21882,0.00519,0.03881,0.01118,0.00728,1.6472,5.35164,1.21411,4.87207e-05,4.87207e-05,4.87207e-05
63,1106.89,1.77045,5.32355,1.23446,0.00519,0.03881,0.01118,0.00728,1.6472,5.35164,1.21411,4.85194e-05,4.85194e-05,4.85194e-05
64,1127.3,1.82816,5.44585,1.23007,0.00683,0.05039,0.01425,0.00911,1.6428,5.30964,1.21007,4.83181e-05,4.83181e-05,4.83181e-05
65,1147.09,1.71172,5.36141,1.2494,0.00683,0.05039,0.01425,0.00911,1.6428,5.30964,1.21007,4.81168e-05,4.81168e-05,4.81168e-05
66,1165.95,1.7742,5.37753,1.21818,0.00644,0.05564,0.01577,0.01044,1.6378,5.27009,1.20909,4.79155e-05,4.79155e-05,4.79155e-05
67,1185.72,1.75027,5.32533,1.19044,0.00644,0.05564,0.01577,0.01044,1.6378,5.27009,1.20909,4.77142e-05,4.77142e-05,4.77142e-05
68,1205.9,1.75164,5.36679,1.22986,0.00691,0.06179,0.01942,0.01322,1.63688,5.22538,1.20509,4.75129e-05,4.75129e-05,4.75129e-05
